id,date,close, diff ,tday,ctry,band,,
JPN,1/21/2008,13325.94, (3.86),144,9,1,,
BRA,2/5/2009,41109, (3.85),416,138,1,,
USA,10/6/2008,1056.89, (3.85),329,161,1,,
IND,7/17/2008,13111.85, (3.84),272,26,1,,
BRA,9/24/2008,49843, (3.83),321,138,1,,
AUS,10/29/2008,3805.8, (3.83),346,6,1,,
USA,9/22/2008,1207.09, (3.82),319,161,1,,
ITA,3/30/2009,15269, (3.82),453,101,1,,
CHN,12/12/2008,1954.21, (3.81),378,13,1,,
CHN,8/1/2007,4300.56, (3.81),22,13,1,,
JPN,3/2/2009,7280.15, (3.81),433,9,1,,
JPN,1/23/2009,7745.25, (3.81),407,9,1,,
AUS,9/30/2008,4631.3, (3.81),325,6,1,,
BRA,1/27/2009,38699, (3.80),409,138,1,,
BRA,3/10/2008,59999, (3.80),179,138,1,,
ITA,1/23/2008,32940, (3.79),146,101,1,,
CHN,4/8/2009,2347.39, (3.76),460,13,1,,
AUS,10/17/2008,3944.8, (3.75),338,6,1,,
MEX,9/29/2008,23955.67, (3.75),324,167,1,,
MEX,12/31/2008,22380.32, (3.74),391,167,2,,
BRA,8/21/2007,49815, (3.73),36,138,2,,
JPN,3/17/2008,11787.51, (3.71),184,9,2,,
BRA,11/27/2007,59432, (3.70),106,138,2,,
IND,5/26/2009,13589.23, (3.69),494,26,2,,
CAN,5/1/2009,12.56, (3.68),477,153,2,,
IND,10/26/2007,19243.17, (3.68),84,26,2,,
CHN,11/24/2008,1897.06, (3.67),364,13,2,,
IND,11/25/2008,8695.53, (3.67),365,26,2,,
IND,9/1/2008,14498.51, (3.66),304,26,2,,
IND,1/23/2009,8674.35, (3.66),407,26,2,,
MEX,11/25/2008,19297.63, (3.64),365,167,2,,
CHN,8/21/2008,2431.72, (3.63),297,13,2,,
CHN,3/17/2008,3820.05, (3.60),184,13,2,,
BRA,6/4/2008,68673, (3.60),241,138,2,,
FRA,1/23/2009,2849.14, (3.59),407,97,2,,
AUS,10/20/2008,4098.7, (3.59),339,6,2,,
CHN,3/10/2008,4146.3, (3.59),179,13,2,,
IND,12/17/2008,9715.29, (3.58),381,26,2,,
BRA,6/24/2009,49672, (3.58),515,138,2,,
CHN,10/10/2008,2000.57, (3.57),333,13,2,,
AUS,12/5/2008,3427.2, (3.56),373,6,2,,
JPN,11/7/2008,8583, (3.55),353,9,2,,
IND,8/28/2008,14048.34, (3.54),302,26,2,,
DEU,6/15/2009,4889.94, (3.54),508,99,2,,
ITA,10/13/2008,22642, (3.53),334,101,2,,
IND,4/28/2009,11001.75, (3.52),474,26,2,,
CAN,1/20/2009,10.98, (3.51),404,153,2,,
JPN,3/6/2009,7173.1, (3.50),437,9,2,,
CHN,10/18/2007,5825.28, (3.50),78,13,2,,
IND,12/20/2007,19162.57, (3.48),123,26,2,,
CAN,12/24/2008,10.81, (3.48),386,153,2,,
USA,3/30/2009,787.53, (3.48),453,161,2,,
DEU,3/2/2009,3710.07, (3.48),433,99,2,,
USA,2/23/2009,743.33, (3.47),428,161,2,,
IND,7/29/2008,13791.54, (3.47),280,26,2,,
AUS,3/18/2008,5163.8, (3.47),185,6,2,,
CHN,2/22/2008,4370.29, (3.47),168,13,2,,
CAN,2/25/2009,10.31, (3.46),430,153,2,,
DEU,2/10/2009,4505.54, (3.46),419,99,2,,
USA,10/24/2008,876.77, (3.45),343,161,2,,
AUS,9/5/2008,4949.5, (3.45),308,6,2,,
ITA,3/20/2008,30371, (3.44),187,101,2,,
FRA,10/17/2008,3329.92, (3.44),338,97,2,,
CHN,7/15/2008,2779.45, (3.43),270,13,2,,
MEX,2/5/2009,19736.96, (3.43),416,167,2,,
USA,9/9/2008,1224.51, (3.41),310,161,2,,
CAN,2/23/2009,9.93, (3.40),428,153,2,,
ITA,5/7/2009,19814, (3.39),481,101,2,,
CHN,3/9/2009,2118.75, (3.39),438,13,2,,
FRA,3/20/2008,4533.72, (3.37),187,97,2,,
CAN,5/15/2009,12.94, (3.36),487,153,2,,
DEU,2/5/2008,6765.25, (3.36),155,99,2,,
IND,10/12/2007,18419.04, (3.36),74,26,2,,
IND,3/25/2009,9667.9, (3.35),450,26,2,,
JPN,1/16/2008,13504.51, (3.35),141,9,2,,
USA,1/14/2009,842.62, (3.35),400,161,2,,
CHN,9/11/2008,2078.98, (3.34),312,13,2,,
MEX,4/23/2009,21829.33, (3.33),471,167,2,,
CAN,12/15/2008,11.03, (3.33),379,153,2,,
CAN,1/12/2009,11.33, (3.33),398,153,2,,
JPN,3/13/2008,12433.44, (3.33),182,9,2,,
MEX,4/1/2009,19880.37, (3.32),455,167,2,,
USA,1/29/2009,845.14, (3.31),411,161,2,,
FRA,3/17/2008,4431.04, (3.31),184,97,2,,
FRA,9/5/2008,4196.66, (3.31),308,97,2,,
MEX,3/9/2009,16964.36, (3.30),438,167,2,,
BRA,1/20/2009,37272, (3.30),404,138,2,,
CHN,9/5/2008,2202.45, (3.29),308,13,2,,
ITA,1/27/2009,17739, (3.28),409,101,2,,
CAN,3/11/2009,10.63, (3.28),440,153,2,,
JPN,3/7/2008,12782.8, (3.27),178,9,2,,
FRA,3/31/2008,4707.07, (3.27),194,97,2,,
FRA,2/11/2008,4682.7, (3.26),159,97,2,,
BRA,7/29/2008,58043, (3.26),280,138,2,,
BRA,8/30/2007,52858, (3.26),43,138,2,,
IND,1/31/2008,17648.71, (3.26),152,26,2,,
JPN,2/20/2008,13310.37, (3.25),166,9,2,,
DEU,11/17/2008,4557.27, (3.25),359,99,2,,
AUS,3/20/2008,5182.4, (3.24),187,6,2,,
ITA,8/4/2008,27826, (3.22),284,101,2,,
CHN,10/22/2008,1895.82, (3.20),341,13,2,,
USA,2/5/2008,1336.64, (3.20),155,161,2,,
BRA,9/10/2008,49633, (3.19),311,138,2,,
IND,1/13/2009,9071.36, (3.19),399,26,2,,
USA,10/27/2008,848.92, (3.18),344,161,2,,
FRA,9/18/2007,5549.35, (3.17),56,97,2,,
AUS,3/12/2009,3190.4, (3.17),441,6,2,,
AUS,7/18/2008,4915.3, (3.15),273,6,2,,
AUS,1/31/2008,5697, (3.15),152,6,2,,
BRA,8/19/2008,53639, (3.14),295,138,2,,
FRA,3/30/2009,2719.34, (3.13),453,97,2,,
CHN,5/26/2008,3364.54, (3.13),234,13,2,,
IND,12/31/2008,9647.31, (3.12),391,26,2,,
JPN,1/30/2009,7994.05, (3.12),412,9,2,,
ITA,5/1/2009,19177, (3.11),477,101,2,,
BRA,3/17/2008,60012, (3.10),184,138,2,,
USA,6/6/2008,1360.68, (3.09),243,161,2,,
IND,1/2/2009,9958.22, (3.09),392,26,2,,
CHN,7/1/2008,2651.6, (3.09),260,13,2,,
IND,9/5/2008,14483.83, (3.09),308,26,2,,
MEX,5/29/2009,24331.71, (3.08),497,167,2,,
FRA,3/13/2009,2705.63, (3.08),442,97,2,,
USA,10/21/2008,955.05, (3.08),340,161,2,,
DEU,11/20/2008,4220.2, (3.08),362,99,2,,
BRA,1/2/2009,40244, (3.07),392,138,2,,
BRA,10/4/2007,60407, (3.07),68,138,2,,
ITA,5/29/2009,19884, (3.06),497,101,2,,
USA,6/22/2009,893.04, (3.06),513,161,2,,
JPN,4/14/2008,12917.51, (3.05),204,9,2,,
CAN,3/31/2009,11.45, (3.05),454,153,2,,
IND,6/8/2009,14665.92, (3.05),503,26,2,,
CHN,10/8/2008,2092.22, (3.04),331,13,2,,
FRA,4/23/2009,3008.62, (3.04),471,97,2,,
ITA,9/5/2008,27567, (3.03),308,101,2,,
JPN,10/7/2008,10155.9, (3.03),330,9,2,,
ITA,6/23/2009,18464.1, (3.03),514,101,2,,
JPN,2/12/2009,7705.36, (3.03),421,9,2,,
BRA,7/27/2007,52922, (3.03),19,138,2,,
DEU,6/22/2009,4693.4, (3.02),513,99,2,,
FRA,5/29/2009,3277.65, (3.01),497,97,2,,
CHN,9/1/2008,2325.14, (3.01),304,13,2,,
BRA,10/25/2007,62341, (3.01),83,138,2,,
BRA,9/28/2007,60465, (3.01),64,138,2,,
ITA,2/11/2008,32764, (3.00),159,101,2,,
CHN,3/31/2008,3472.71, (3.00),194,13,2,,
USA,1/7/2009,906.65, (3.00),395,161,2,,
CHN,6/13/2008,2868.8, (3.00),248,13,2,,
JPN,11/11/2008,8809.3, (3.00),355,9,2,,
USA,9/4/2008,1236.83, (2.99),307,161,2,,
BRA,1/14/2009,37982, (2.99),400,138,2,,
BRA,4/8/2009,44182, (2.98),460,138,2,,
BRA,4/28/2009,45821, (2.98),474,138,2,,
CAN,5/5/2009,13.04, (2.98),479,153,2,,
IND,1/15/2009,9046.74, (2.97),401,26,2,,
USA,8/9/2007,1453.09, (2.96),28,161,2,,
DEU,11/12/2008,4620.8, (2.96),356,99,2,,
BRA,5/27/2008,70992, (2.95),235,138,2,,
IND,2/6/2009,9300.86, (2.95),417,26,2,,
MEX,3/12/2009,18864.87, (2.94),441,167,2,,
CHN,4/22/2009,2461.35, (2.94),470,13,2,,
USA,11/7/2007,1475.62, (2.94),92,161,2,,
USA,6/26/2008,1283.15, (2.94),257,161,2,,
CHN,10/29/2008,1719.81, (2.94),346,13,2,,
USA,12/4/2008,845.22, (2.93),372,161,2,,
CHN,2/17/2009,2319.44, (2.93),424,13,2,,
USA,1/17/2008,1333.25, (2.91),142,161,2,,
DEU,9/4/2008,6279.57, (2.91),307,99,2,,
IND,10/1/2007,17328.62, (2.90),65,26,2,,
CHN,9/17/2008,1929.05, (2.90),316,13,2,,
ITA,1/23/2009,17283, (2.89),407,101,2,,
CAN,9/17/2008,15.15, (2.88),316,153,2,,
FRA,10/2/2008,3963.28, (2.88),327,97,2,,
BRA,3/31/2008,60968, (2.88),194,138,2,,
AUS,1/23/2008,5445.6, (2.86),146,6,2,,
JPN,6/16/2009,9752.88, (2.86),509,9,2,,
USA,12/11/2008,873.59, (2.85),377,161,2,,
IND,4/22/2009,10817.54, (2.85),470,26,2,,
ITA,2/25/2009,15218, (2.85),430,101,2,,
CAN,3/10/2008,16.08, (2.84),179,153,2,,
IND,6/25/2009,14345.62, (2.84),516,26,2,,
AUS,3/16/2009,3297.3, (2.83),443,6,2,,
AUS,4/18/2008,5504.1, (2.83),208,6,2,,
FRA,2/3/2009,2982.39, (2.82),414,97,2,,
JPN,6/23/2009,9549.61, (2.82),514,9,2,,
BRA,2/12/2009,40501, (2.81),421,138,2,,
CHN,1/16/2008,5290.61, (2.81),141,13,2,,
IND,4/13/2009,10967.22, (2.81),463,26,2,,
IND,8/24/2007,14424.87, (2.81),39,26,2,,
AUS,5/1/2009,3737.9, (2.81),477,6,2,,
ITA,10/30/2008,20768, (2.80),347,101,2,,
BRA,1/7/2009,40820, (2.79),395,138,3,,
CHN,6/17/2008,2794.75, (2.76),250,13,3,,
IND,11/3/2008,10337.68, (2.76),349,26,3,,
ITA,3/31/2008,31616, (2.76),194,101,3,,
MEX,3/31/2008,30912.99, (2.75),194,167,3,,
JPN,9/5/2008,12212.23, (2.75),308,9,3,,
